"Deutsch";"English";"dansk";"Nederlands";"scientific"
"Anpassungsfähigkeit, die (-; -en)";"adaptability; ability to adapt";"tilpasningsevne (-n; -r)";"aanpassingsvermogen, het";
"Anrainerstaat, der (-es; -en) (hier: Wattenmeeranrainerstaaten)";"abutting nation (here: Wadden Sea States)";"tilgrænsende land (-et; -e) (her: vadehavsstater; vadehavslande)";"aangrenzende land, het (hier: Waddenzeelanden; landen die aan de Waddenzee grenzen)";
"anschwemmen; etw. an Land spülen (v.)";"wash ashore (v.)";"skylle op på stranden (v.)";"aanspoelen (ww.)";
"Antifoulingfarbe, die (-; -n)";"antifouling (marine) paint";"antifoulingmaling (-en; -er)";"antifoulingverf, de (pl.: antifoulingverven)";
"Aquarium, das (-s; Aquarien)";"aquarium; fish tank";"akvarium (-et; akvarier)";"aquarium, het (pl.: aquariums of aquaria)";
"Arnika f";"leopard’s bane; mountain tobacco; sneezewort";"almindelig guldblomme";"wolverlei";"Arnica montana"
"Art, die (-; -en)";"species";"art (-en; -er)";"soort, de";
"Artemismuschel f";"rayed artemis";"dosiniamusling";"artemisschelp";"Dosinia exoleta"
"Aschgraue Kreiselschnecke f";"grey top shell";"almindelig topsnegl";"asgrauwe tolhoren";"Gibbula cineraria"
"Assimilation, die (-; -en); Aufnahme, die (-; -n)";"assimilation";"assimilation (-en; -er)";"assimilatie, de;";
"Ästuar, das (-s; -e o. Ästuarien)";"estuary; river mouth";"æstuarium (-et; æstuarier); flodmunding (-en, -er)";"estuarium, het (pl.: estuariums of estuaria)";
"aufnehmen; absorbieren (v.)";"absorb (v.)";"absorbere; optage (v.)";"opnemen; absorberen (ww.)";
"Aufrechter Queller m";"upright glasswort";"langhalset salturt";"langarige zeekraal n";"Salicornia stricta"
"aufzeichnen (v.)";"record (v.)";"optegne; optage (v.)";"aantekenen; optekenen (ww.)";
"Ausdauernder Knäuel m";"perennial knawel";"flerårig knavel";"overblijvende hardbloem";"Scleranthus perennis"
"Ausgleichsprinzip, das (-s; no pl.)";"Principle of Compensation";"Kompensationsprincip (-pet; no pl.)";"compensatiebeginsel, het";
"Ausnahmegenehmigung, die (-; -en)";"exception";"undtagelse (-n; -r)";"uitzondering, de";
"Ausstellung, die (-; -en)";"exhibition";"udstilling (-en; -er)";"tentoonstelling, de";
"aussterben (v.)";"become extinct (v.)";"dø ud (v.)";"uitsterven (ww.)";
"Austernfischer m";"Eurasian oystercatcher";"strandskade";"scholekster";"Haematopus ostralegus"
"Australische Seepocke f";"Australian barnacle";"firepladet rur";"nieuw-zeelandse zeepok";"Elminius modestus"
"auswaschen; unterspülen; aushöhlen (v.)";"wash out (v.)";"vaske ud (v.)";"uitwassen; uithollen (ww.)";
"Baggergut, das (-es; no pl.)";"dredged material";"opgravede materialer (pl.)";"baggermateriaal, het";
"Ballastwasser, das (-s; -)";"ballast water";"ballastvand (-et)";"ballastwater, het";
"Baltische Binse f";"baltic rush";"klit-siv";"noordse rus";"Juncus balticus"
"Baltische Plattmuschel, Rote Bohne f";"baltic tellin";"østersømusling";"nonnetje n";"Macoma baltica"
"Baltischer Enzian m";"field gentian";"baltisk ensian";"veldgentiaan";"Gentianella campestris baltica"
"Baltischer Strandhafer m";"baltic marram grass";"østersø-hjælme";"noordse helm";"Ammocalamagros-tis baltica"
"Basstölpel m";"northern gannet";"sule";"jan van gent";"Sula bassana"
"Bauernsenf m";"shepherd’s cress";"flipkrave";"klein tasjeskruid n";"Teesdalia nudicaulis"
"Bäumchenröhrenwurm m";"sand mason";"lanice-orm";"schelpkokerworm";"Lanice conchilega"
"Bedingung, die (-; en)";"condition";"betingelse (-n; -r)";"voorwaarde, de";
"bedrohen (v.)";"threaten (v.)";"true (v.)";"bedreigen (ww.)";
"Bedrohung, die (-; -en)";"threat";"trussel (trus(se)len; trusler)";"bedreiging, de";
"beeinträchtigen (v.)";"impair (v.)";"gøre indgreb; skade (v.)";"afbreuk doen aan (ww.)";
"Beeinträchtigung, die (-; -en)";"impairment";"skade (-n; -r); hæmning (-en; -er)";"benadeling, de";
"begrenzt; beschränkt";"restricted";"begrænset; indskrænket";"beperken";
"Begrenzung, die (-; -en) Einschränkung, die (-; -en)";"restriction";"begrænsning (-en; -er); indskrænkning (-en;-er)";"beperking, de";
"Behaarter Ginster m";"hairy greenweed";"håret visse";"kruipbrem";"Genista pilosa"
"Behaartes Schaumkraut n";"hairy bitter-cress";"roset-springklap";"kleine veldkers";"Cardamine hirsuta"
"Behaartes Weidenröschen n";"great hairy willow-herb; codlins-and-cream";"lådden dueurt";"harig wilgeroosje n";"Epilobium hirsutum"
"Behörde, die (-; -n) (hier: die zuständige Behörde)";"authority (here: the relevant authority)";"myndighed (-en; -er) (her: de rette myndigheder)";"autoriteit, de (hier: de bevoegde autoriteit)";
"Beifang, der (-s; Beifänge)";"bycatch";"bifangst (-en; -er)";"bijvangst, de";
"Beinbrech m";"bog asphodel";"benbræk";"beenbreek n";"Narthecium ossifragum"
"Beirat, der (-es; Beiräte); Beratungsausschuss, der (-es; Beratungsausschüsse)";"advisory board; commitee";"rådgiver (-en; -e); bestyrelse (-n; -r)";"adviescollege, het";
"Bekassine f";"common snipe";"dobbeltbekkasin";"watersnip";"Gallinago gallinago"
"Belastung, die (-; -en)";"stress";"belastning (-en; -er)";"belasting, de";
"benachbart";"adjacent";"tilgrænsende, nabo...";"naburig";
"beobachten (v.)";"observe (v.)";"iagttage (v.)";"gadeslaan (ww.)";
"Bergeidechse f";"common lizard";"skovfirben n";"levendbarende hagedis";"Lacerta vivipara Zootoca vivipara"
"Berghänfling m";"twite";"bjergirisk";"frater";"Carduelis flavirostris"
"Berg-Sandglöckchen n";"sheep´s bit";"blåmunke";"zandblauwtje n";"Jasione montana"
"Bernstein, der (-es; -e)";"amber";"rav (-et; no pl.)";"barnsteen, het";
"Besenheide f";"scotch heather; ling";"hedelyng";"struikhei, bezemheide";"Calluna vulgaris"
"bestimmen (v.)";"identify (v.)";"identificere, bestemme (v.)";"identificceren (ww.)";
"Beteiligung, die (-; -en)";"participation";"deltagelse (-n; -r)";"deelneming, de";
"Beton, der (-s; -s)";"concrete";"beton (-en)";"beton, het";
"Beutetier, das (-es; e)";"prey";"byttedyr (-et; -)";"prooidier, het";
"Beweis, der (-es; -e); Nachweis, der (-es; -e)";"evidence; proof";"bevis (-et; -er)";"bewijs, het";
"bewerten (v.)";"evaluate (v.)";"vurdere (v.)";"beoordelen (ww.)";
"Bewusstsein, das (-s; no pl.)";"awareness";"bevidsthed (-en; -er)";"bewustzijn, het";
"Bildungsaktivität, die (-; -en)";"educational activity";"uddannelsesaktivitet (-en; -er)";"onderwijsactiviteit, het";
"Bildungsurlaub, der (-[e]s; -e)";"educational leave";"uddannelsesorlov (-et; -)";"educatief verlof, het (pl.: verloven)";
"Binsen-Quecke f";"sand couch";"strand-kvik";"biestarwegras n";"Elytrigia juncea"
"Biosphärenreservat, das (-[e]s; -e)";"Biosphere reserve";"biosfære-reservat (-et; -er)";"Biosfere Reservaat, de";
"Bittersüßer Nachtschatten m";"bittersweet";"bittersød natskygge";"bitterzoet n";"Solanum dulcamara"
"Blasentang m";"bladder wrack";"blæretang";"blaaswier n";"Fucus vesiculosus"
"Blässgans f";"white-front goose";"blisgås";"kolgans";"Anser albifrons"
"Blässhuhn n";"coot";"blishøne";"meerkoet";"Fulica atra"
"Blätter-Moostierchen n";"hornwrack";"bladmosdyr";"bladachtig hoornwier n";"Flustra foliacea"
"Blattkäfer Chrysolina haemopteram";"Chrysolina haemoptera";"sortblå guldbille";"hottentothaantje n";"Chrysolina haemoptera"
"Blaue Haarqualle f";"blue jellyfish";"blå brandmand";"blauwe haarkwal";"Cyanea lamarcki"
"Blaugrüne Binse f";"hard rush";"blågrå siv";"zeegroene rus";"Juncus inflexus"
"Blaugrüne Segge f";"glaucous sedge";"blågrøn star";"zeegroene zegge";"Carex flacca"
"Bläuliches Wiesen-Rispengras n";"smooth-stalked meadow grass";"blågrøn rapgræs";"veldbeemdgras n";"Poa pratensis"
"Blei, das (-[e]s; -e)";"lead";"bly (-et; -)";"lood, het";
"Bleiches Zwerg-Hornkraut, Klebriges Hornkraut n";"sticky mouse-ear";"klæbrig hønsetarm";"gewone kluwenhoornbloem";"Cerastium glutinosum (glomeratum)"
"Blumenkohlqualle f";"rhizostome";"lungegople";"zeepaddenstoel";"Rhizostoma octopus"
"Blutroter Storchschnabel m";"bloody crane’s-bill";"blodrød storkenæb";"bloedooievaarsbek";"Geranium sanguineum"
"Blutweiderich m";"purple-loosestrife";"kattehale";"kattestaart";"Lythrum salicaria"
"Blutwurz m";"common tormentil";"tormentil, opret potentil";"tormentil n";"Potentilla erecta"
"Boden, der (-s; Böden)";"ground, soil";"jord (-en; -); jordbund (-en; -e)";"bodem, de";
"Bodentier, das (-[e]s; -e)";"soil animal";"bunddyr n (-et; -)";"bodemdier, het";
"Bohrinsel, die (-; -n)";"oil-rig";"borerig (-gen; -ger); boreplatform (-en; -er)";"booreiland, het";
"Bohrschwamm m";"boring sponge";"boresvamp";"boorspons";"Cliona celata"
"Bohrturm, der (-[e]s; Bohrtürme)";"oil rig; derrick";"boretårn (-et; -e)";"boortoren, de";
"Boje, die (-; -n)";"buoy";"bøje (-n; -r)";"boei, de";
"Boot, das (-[e]s; -e)";"boat";"båd (-en; -e)";"boot, de (pl.: boten)";
"Borstensimse f";"bristle club-rush";"børste-kogleaks";"borstelbies";"Isolepis setacea"
"Borstenwurm, der (-[e]s; -würmer)";"bristleworm";"havbørsteorm";"borstelworm";"Polychaetx"
"Borstgras n";"mat-grass";"katteskæg";"borstelgras n";"Nardus stricta"
"Borstschmiele f";"bog hair-grass";"fin bunke";"moerassmele";"Deschampsia setacea"
"Botten-Binse, Salz-Binse f";"mud rush";"harril";"zilte rus";"Juncus gerardii"
"Brackwasser, das (-s; -no pl.)";"brackish water";"brakvand (-et; -e)";"brak water, het";
"Brackwassergarnele, Schwimmgarnele f";"grass shrimp; brackish water prawn; atlantic ditch shrimp";"brakvandsreje";"brakwatersteurgarnaal";"Palaemonetes varians"
"Brackwasser-Hahnenfuß m";"brackish water-crowfoot";"strand-vandranunkel";"zilte waterranonkel";"Ranunculus baudotii"
"Brackwasser-Seepocke f";"bay barnacle; black sea barnacle";"brakvandsrur";"brakwaterpok";"Balanus improvisus"
"Brandente f";"shelduck";"gravand";"bergeend";"Tadorna tadorna"
"Brandseeschwalbe f";"sandwich tern";"splitterne";"grote stern";"Sterna sandvicensis"
"Brandung, die (-; -en)";"surf";"brænding (-en; -er)";"branding, de";
"Braundüne, die (-; -n) (= tertiäre Düne)";"brown dune (= tertiary dune)";"brun klit (-ten; -ter) (= tertiære klit)";"tertiaire duin, de";
"Braune Segge, Wiesen-Segge f";"common sedge";"almindelig star";"zwarte zegge";"Carex fusca"
"Braunes Schnabelried n";"brown beak-sedge";"brun næbfrø";"bruine snavelbies";"Rhynchospora fusca"
"Breitblättrige Kresse f";"dittander";"strand-karse";"peperkers";"Lepidium latifolium"
"Breitblättriger Rohrkolben m";"bulrush; greater reedmace; broadleaf cattail";"bredbladet dunhammer";"grote lisdodde";"Typha latifolia"
"Breitblättriges Knabenkraut n";"broad-leaved marsh orchid";"majgøgeurt";"breedbladige orchis";"Dactylorhiza majalis"
"Breit-Wegerich m";"greater plantain";"glat vejbred";"grote weegbree";"Plantago major"
"Brotkrumenschwamm m";"breadcrumb sponge";"brødkrummesvamp";"gewone broodspons";"Halichondria panicea"
"brüten (v.)";"breed (v.)";"ruge (v.)";"broeden (ww.)";
"Brutgebiet, das (-[e]s; -e)";"breeding ground; nesting area";"rugeområde (-t; -r); yngleområde (-t; -r)";"broedgebied, het";
"Brutvogel, der (-s; Brutvögel)";"breeding bird";"rugefugl (-en; -e)";"broedvogel, de (pl.: broedvogels)";
"Brutzeit, die (-; -en)";"breeding season; nesting season";"yngletid (-en; -er)";"broedtijd, de";
"Bunte Kammuschel f";"variegated scallop";"varierende kammusling";"bonte mantel";"Chlamys varia"
"Buntes Vergißmeinicht n";"changing forget-me-not";"forskelligfarvet for-glemmigej";"veelkleurig vergeetmenietje n";"Myosotis discolor"
"Butterfisch m";"gunnel";"almindelig tangspræl";"botervis";"Pholis gunellus"
"Dänisches Löffelkraut n";"Danish scurvy-grass";"dansk kokleare";"deens lepelblad n";"Cochlearia danica"
"Darmtang m";"stone hair";"rørhinde";"darmwier n";"Enteromorpha sp."
"Daten, die (pl.)";"data";"data (pl.)";"gegevens (pl.)";
"Daune, die (-; -n)";"down feather";"dun (-et; -)";"dons, het";
"decken; überdecken (v.)";"cover (v.)";"dække; tildække (v.)";"dekken; bedekken (ww.)";
"Deich, der (-[e]s; -e)";"dike; bank; embankment";"dige (-t; -r)";"dijk, de";
"Detritus, der (-; -)";"detritus";"detritus (-en; -)";"Detritus, het";
"Deutsches Filzkraut n";"common cudweed";"kugle-museurt";"duits viltkruid n";"Filago vulgaris"
"Deutsches Weidelgras n";"perennial rye-grass";"almindelig rajgræs";"engels raaigras n";"Lolium perenne"
"Dialog, der (-[e]s; -e)";"dialogue";"dialog (-en; -er)";"dialoog, de (pl.: dialogen)";
"Diashow, die (-; -s)";"slide show";"lysbilledforestilling (-en; -er)";"diashow, de (pl.: diashows)";
"Dickfleischigkeit, die (-; -en)";"succulence";"saftighed (-en; -er)";"sappigheid, de";
"Dickhörnige Seerose f";"dahlia anemone";"sø-georgine";"zeedahlia";"Urticina felina"
"Dicklippige Meeräsche f";"thick- lipped (grey) mullet";"tyklæbet multe";"diklipharder";"Mugil chelo / Chelon labrosus"
"Dicklippige Netzreuse f";"thick lipped dog whelk";"tandet dværgkonk";"verdikte fuikhoren";"Nassarius incrassatus / Hinia incrassatus"
"Diskussion, die (-; -en)";"discussion";"diskussion (-en; -er)";"discussie, de";
"Doldiges Habichtskraut n";"narrowleaved hawkweed";"smalbladet høgeurt";"schermhavikskruid n";"Hieracium umbellatum"
"Dornige Hauhechel f";"spiny restharrow";"strand-krageklo";"kattedoorn";"Ononis spinosa ssp. spinosa"
"Dornmelde f";"hairy sea-blite";"tangurt";"ruig zoutkruid n";"Bassia hirsuta"
"Dorsch / Kabeljau m";"cod";"torsk";"kabeljauw";"Gadus morhua"
"Drachen, der (-s; -) (hier: einen Drachen steigen lassen)";"kite (here: to fly a kite)";"drage (-n; -r) (her: flyve med drager)";"vlieger, de (pl.: vliegers) (hier: vlieger oplaten)";
"Draht-Schmiele f";"wavy hair-grass";"bølget bunke";"bochtige smele";"Deschampsia flexuosa / Avenella flexuosa"
"Drechselschnecke f";"pink-banded shelled sea slug “Acteon tornatilis“";"baggællesnegle “Acteon tornatilis“";"(gewone) spoelhoren";"Acteon tornatilis"
"Dreikantige Teichsimse f";"triangular club-rush";"trekantet kogleaks";"driekantige bies";"Schoenoplectus triqueter/ Scirpus triqueter"
"Dreikantröhrenwurm m";"keelworm";"trekantsorm";"driekantige kalkkokerworm";"Pomatoceros triqueter"
"Dreistachliger Stichling m";"stickleback";"hundestejle";"stekelbaars";"Gasterosteus aculatus"
"Dreizahn m";"heath-grass";"almindelig tandbælg";"tandjesgras n";"Danthonia decumbens"
"Dreizehenmöwe f";"kittiwake";"ride";"drieteenmeeuw";"Rissa tridactyla"
"Drüse, die (-; -n)";"gland";"kirtel (kirt(e)len; kirtler)";"klier, de";
"Duft-Mariengras n";"holy-grass";"vellugtende festgræs";"veenreukgras n";"Hierochloe odorata"
"Düne, die (-; -n)";"dune";"klit (-ten; -ter)";"duin, de";
"Dünenbildung, die (-; -en)";"dune formation";"klitdannelse (-n; -r)";"duinvorming, de";
"Dünenkamm, der (-[e]s; Dünenkämme)";"dune ridge";"klitkam (-men; -me); klitryg (-gen; -ge); klittop (-pen; -pe)";"duinreep, de; duinenrij, de; duintop, de (pl.: duintoppen)";
"Dünen-Pestwurz f";"butterbur „Petasites spurius“";"filtet hestehov";"groot hoefblad „petasites spurius“";"Petasites spurius"
"Dünen-Quecke f";"quack grass";"stiv kvik";"strandkweek n";"Agropyron pungens (littorale)"
"Dünen-Reiherschnabel m";"dunes storksbill";"klit-hejrenæb";"duinreigersbek";"Erodium ballii"
"Dünenrose f";"burnet rose";"klitrose";"duinroosje n";"Rosa pimpinellifolia"
"Dünenschwingel m";"rush-leaved fescue";"klit-svingel";"duin-zwenkgras n";"Festuca rubra villosa"
"Dünental, das (-[e]s; Dünentäler)";"dune valley; dune slack";"klitlavning (-en; -er); klitdal (-n; -e); klitgyde (n; -er)";"duinvallei, de";
"Dünen-Trespe f";"soft brome";"liggende hejre";"duindravik";"Bromus hordeaceus ssp. thominei"
"Dünenveilchen n";"seaside pansy";"klit-stedmoderblomst";"duinviooltje n";"Viola tricolor curtisii"
"Dunkler Wasserläufer m";"spotted redshank";"sortklire";"zwarte ruiter";"Tringa erythropus"
"Dunkles Zwerg-Hornkraut n";"dwarf mouse-ear";"liden hønsetarm";"steenhoornbloem";"Cerastium pumilum"
"Dünnschalige Rissoa f";"Rissoa membranacea";"stor tangsnegl";"vliezige drijfhoren";"Rissoa membranacea"
"Dünnschwanz m";"hardgrass";"spidshale";"dunstaart";"Parapholis strigosa"
"Dünung, die (-; -en)";"swell";"dønning (-en; -er)";"Deining, de";
"durchführen (v.) (z.B. ein Programm)";"run sth. (v.) (e.g. a programme)";"bestyre, føre, lede (v.) (fx et program)";"begeleiden; geven; presenteren (ww.) (b.v. het programma)";
"Durchführung, die (-; -en); Umsetzung, die (-; -en)";"implementation";"gennemførelse (-n; -r)";"uitvoering, de; omzetting, de";
"dynamisch";"dynamic";"dynamisk";"dynamisch";
"Ebbe, die (-; -n)";"ebb";"ebbe (-n; no pl.)";"eb, de";
"Echte Mondraute f";"moonwort";"almindelig månerude";"maanvaren";"Botrychium lunaria"
"Echte Wendeltreppe f";"common wentletrap";"almindelig vindeltrappesnegl";"gewone wenteltrap";"Scala clathrus"
"Echter Sumpfwurz n";"marsh helleborine";"sump-hullæbe";"moeraswespenorchis";"Epipactis palustris"
"Echtes Labkraut n";"lady´s bedstraw";"gul snerre";"echt walstro n";"Galium verum"
"Echtes Löffelkraut n";"common scurvygrass";"læge kokleare";"echt lepelblad";"Cochlearia officinalis"
"Eidechse, die (-; -en)";"lizard";"firben n";"hagedis, de";
"Eiderente f";"common eider";"ederfugl";"eidereend";"Somateria molissima"
"Eindeichung, die (-; -en)";"embankment";"inddigning (-en; -er)";"bedijking, de; indijking, de";
"Einfluss, der (-es; Einflüsse)";"influence";"indflydelse (-n; -r)";"Invloed, de";
"eingraben: sich ~ (v.)";"bury oneself (v.)";"grave sig ned (v.)";"ingraven: zich ~ (ww.)";
"einhüllen in; völlig bedecken mit (v.)";"smother in; smother with, envelope (v.)";"indsvøbe i(v.)";"verhullen; bedekken (ww.)";
"Einjähriger Knäuel m";"annual knawel";"enårig knavel";"naaldekervel, eenjarige hardbloem";"Scleranthus annuus"
"Einjähriges Rispengras n";"annual meadow-grass";"enårig rapgræs";"straatgras n";"Poa annua"
"einmalig";"unique";"enestående, unik";"Uniek";
"Einrichtung, die (-; -en); Anlage, die (-; -n)";"facility";"anlæg (-get; -); indretning (-en; -er); udstyr (-et; -)";"faciliteit, de; instelling, de";
"Einsiedlerkrebs m";"hermit crab";"eremitkrebs";"heremietkreeft";"Eupagurus bernhardus"
"Einspelzige Sumpfsimse f";"slender spike-rush";"enskællet sumpstrå";"slanke waterbies";"Eleocharis uniglumis"
"Eisente f";"long-tailed duck; oldsquaw";"havlit";"ijseend";"Clangula hyemalis"
"Eisstern m";"spiny starfish";"pigget søstjerne";"ijszeester";"Marthasterias glacialis"
"Eissturmvogel m";"fulmar";"mallemuk";"noordse stormvogel";"Fulmarus glacialis"
"Eiszeit, die (-; -en)";"ice-age";"istid (-en; -er)";"ijstijd, de";
"Eiszeitalter, das (-s; -)";"glacial epoch";"glacialtid (-en; -er); istid (-en; -er)";"ijstijd, de";
"Empfehlung, die (-; -en)";"recommendation";"anbefaling (-en; -er)";"aanbeveling, de";
"Engelwurz m";"beach angelica";"strand-kvan";"grote engelwortel";"Angelica archangelica litoralis"
"Englischer Ginster m";"petty whin";"engelsk visse";"stekelbrem";"Genista anglica"
"Englisches Löffelkraut n";"longleaved scurvy-grass";"læge kokleare";"engels lepelblad n";"Cochlearia anglica"
"Englisches Schlickgras n";"common cord-grass";"Engelsk vadegræs";"engels slijkgras n";"Spartina anglica"
"Entenmuschel, Gemeine f";"common goose barnacle";"glat langhals";"eendenmossel";"Lepas anatifera"
"entgegensetzen; gegenüberstellen (v.)";"oppose (v.)";"konfrontere; modsætte (v.)";"tegenoverstellen (ww.)";
"Entscheidungsträger, der (-s; -)";"decision maker";"beslutningstager (-en; -e)";"beleidsbepaler, de";
"Entwicklung, die (-; -en)";"development";"udvikling (-en; -er)";"ontwikkeling, de";
"Entwurf, der (-es; Entwürfe)";"draft";"udkast (et; -)";"ontwerp, het";
"Erdbeerklee m";"strawberry clover";"jordbær-kløver";"aardbeiklaver";"Trifolium fragiferum"
"Erdboden, der (-s; Erdböden)";"soil";"jordbund (-en; -e); grund (-en; -e)";"aarde, de; aardbodem, de";
"Erdloch, das (-[e]s; Erdlöcher); Fraßgang, der (-[e]s; Fraßgänge)";"burrow";"grav (-en; -e); løbegang (-en; -e)";"kuil, de; tunnel, de (pl.: tunnels)";
"Erfahrung, die (-; -en)";"experience (pl.)";"erfaring (-en; -er)";"ervaring, de";
"erfassen (v.) (z.B. Daten)";"collect (v.) (e.g. data)";"indsamle (v.) (fx data)";"vastleggen; registreren (ww.) (b.v. gegevens)";
"Erhaltung, die (-; -en)";"conservation";"bevarelse (-n; -r)";"bewaring, de";
"Erholung, die (-; no pl.) (hier: Erholung und Freizeit)";"recreation";"rekreation (-en; -er) (her: rekreation og fritid)";"recreatie, de (pl.: recreaties)";
"Erklärung, die (-; -en); Bekanntmachung, die (-; -en)";"declaration";"deklaration (-en; -er); udtalelse (-n; -r); bekendtgørelse (-en; -er)";"bekendmaking, de";
"erlauben (v.)";"permit (v.)";"tillade (v.)";"toestaan; veroorloven (ww.)";
"ermitteln; ausforschen (v.)";"investigate (v.)";"finde ud af; undersøge; udforske (v.)";"vaststellen; onderzoeken (ww.)";
"Ermittlung, die (-; -en)";"investigation";"opdagelse (-n; -r); undersøgelse (-n; -r)";"vaststelling, de";
"erodieren; wegfressen (fig.) (v.)";"erode (v.)";"erodere; nedbryde (v.)";"eroderen; uitslijten (ww.)";
"errichten, etablieren (v.)";"establish (v.)";"etablere, oprette (v.)";"oprichten; stichten (ww.)";
"ersticken (v.)";"suffocate (v.)";"kvæle (v.)";"smoren; (ver)stikken (ww.";
"erstrecken: sich ~ (v.)";"extend, stretch out (v.)";"strække sig (ud) (v.)";"uitstrekken: zich ~ (ww.)";
"ertrinken (v.)";"drown (v.)";"drukne (v.)";"verdrinken (ww.)";
"Erzfarbener Salzläufer m";"saltmarsh beetle; ground beetle “Pogonus chalceus“";"bronzemarskløber";"Pogonus chalceus";"Pogonus chalceus"
"Eßbare Herzmuschel f";"common cockle";"almindelig hjertemusling";"kokkel; eetbare hartschelp";"Cerastoderma edule"
"Eßbarer Seeigel m";"edible sea urchin";"spiseligt søpindsvin; stort søpindsvin n";"eetbare zeeappel";"Echninus esculentus"
"Europäische Auster f";"European flat oyster";"europæisk østers";"platte zeeuwse oester";"Ostrea edulis"
"Europäischer Queller m";"common glasswort";"almindelig salturt";"zeekraal n";"Salicornia europaea agg."
"Exkursion, die (-; -en)";"excursion";"ekskursion (-en; -er)";"excursie, de (pl.: excursies)";
